Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","1.36","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2022","2022","kcal/cap/d","143.35","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2022","2022","g/cap/d","2.96","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2022","2022","g/cap/d","1.22","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2515","Rye and products","2010","2010","kcal/cap/d","4.1","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2515","Rye and products","2010","2010","g/cap/d","0.15","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2515","Rye and products","2010","2010","g/cap/d","0.02","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2515","Rye and products","2011","2011","kcal/cap/d","5.13","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2515","Rye and products","2011","2011","g/cap/d","0.18","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2515","Rye and products","2011","2011","g/cap/d","0.03","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2515","Rye and products","2012","2012","kcal/cap/d","9.5","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2515","Rye and products","2012","2012","g/cap/d","0.34","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2515","Rye and products","2012","2012","g/cap/d","0.05","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2515","Rye and products","2013","2013","kcal/cap/d","3.53","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2515","Rye and products","2013","2013","g/cap/d","0.13","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2515","Rye and products","2013","2013","g/cap/d","0.02","E","Estimated value",""
